VERSION;7.2.1.201802190531
DATE;01/08/2018 07:46
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0007;NQDS QO WELL PROD9;1.394575148902702
1;base0007;NQDS BHP WELL PROD9;-0.3166726013935395
1;base0007;NQDS QL WELL PROD10;3.447475162205633E-10
1;base0007;NQDS QW WELL PROD10;2.092205405950594
1;base0007;NQDS QO WELL PROD10;-0.05128247903751779
1;base0007;NQDS BHP WELL PROD10;-0.3912929846045186
1;base0007;NQDS QWI WELL INJ1;0.0
1;base0007;NQDS BHP WELL INJ1;0.9484600293223525
1;base0007;NQDS QWI WELL INJ2;0.0
1;base0007;NQDS BHP WELL INJ2;-0.1670769066730316
1;base0007;NQDS QWI WELL INJ3;0.0
1;base0007;NQDS BHP WELL INJ3;0.3126499936052079
1;base0007;NQDS QWI WELL INJ4;0.0
1;base0007;NQDS BHP WELL INJ4;-0.4793643654900231
1;base0007;NQDS QWI WELL INJ5;0.0
1;base0007;NQDS BHP WELL INJ5;-0.3001521332347897
1;base0007;NQDS QWI WELL INJ6;0.0
1;base0007;NQDS BHP WELL INJ6;-0.2836346048757717
1;base0007;NQDS QWI WELL INJ7;0.0
1;base0007;NQDS BHP WELL INJ7;-1.653712065016564
1;base0007;NQDS QWI WELL INJ8;0.0
1;base0007;NQDS BHP WELL INJ8;-0.2313395880791049
1;base0007;NQDS QWI WELL INJ9;0.0
1;base0007;NQDS BHP WELL INJ9;-0.4514554840775496
1;base0008;NQDS QL WELL WILDCAT;1.597605520938761E-10
1;base0008;NQDS QW WELL WILDCAT;-5.798373404594977
1;base0008;NQDS QO WELL WILDCAT;0.1599542835808519
1;base0008;NQDS BHP WELL WILDCAT;-0.4533117580792041
1;base0008;NQDS QL WELL PROD1;4.235818796111257E-10
1;base0008;NQDS QW WELL PROD1;-16.95435559555099
1;base0008;NQDS QO WELL PROD1;1.572273456677562
1;base0008;NQDS BHP WELL PROD1;-0.2338543959713818
1;base0008;NQDS QL WELL PROD2;-3.360609908337629E-10
1;base0008;NQDS QW WELL PROD2;-49.709805135511
1;base0008;NQDS QO WELL PROD2;11.20170609252514
1;base0008;NQDS BHP WELL PROD2;-0.09288402012832449
1;base0008;NQDS QL WELL PROD3;-2.651705208473151E-10
1;base0008;NQDS QW WELL PROD3;0.2487372464037709
1;base0008;NQDS QO WELL PROD3;-0.002208111968303537
1;base0008;NQDS BHP WELL PROD3;-0.6772098453979145
1;base0008;NQDS QL WELL PROD4;-2.172207123719038E-10
1;base0008;NQDS QW WELL PROD4;-27.53481159374157
1;base0008;NQDS QO WELL PROD4;2.090011366766378
1;base0008;NQDS BHP WELL PROD4;-0.4623510989411389
1;base0008;NQDS QL WELL PROD5;4.806242096410794E-15
1;base0008;NQDS QW WELL PROD5;1.58503232535678E-13
1;base0008;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0008;NQDS BHP WELL PROD5;-0.614933646156577
1;base0008;NQDS QL WELL PROD6;3.717822887887384E-10
1;base0008;NQDS QW WELL PROD6;-24.86636149638656
1;base0008;NQDS QO WELL PROD6;0.9766245652233572
1;base0008;NQDS BHP WELL PROD6;-0.3919429701005438
1;base0008;NQDS QL WELL PROD7;3.242207011873685E-10
1;base0008;NQDS QW WELL PROD7;-37.70076397003493
1;base0008;NQDS QO WELL PROD7;4.251604113320596
